name,serving_size,calories,proteins,carbohydrate,fat,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,name_clean,food_category
Chitato Maxx Spicy Mexican Chili Flavor,1 g,50.0,1.0,12.0,6.0,1.0,90.0,0.0,5.12,1.67,3.69,8.96,6.0,13.0,6.0,0.0,0.0,0.0,9.0,0.0,chitato maxx spicy mexican chili flavor,Low Sugar
Nasi / Nasi Putih,0.20 g,180.0,3.0,39.8,0.3,0.0,1.0,0.2,8.37,5.0,12.25,0.45,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nasi / nasi putih,Low Sugar
"Jampang huma, mentah",2.50 g,350.0,6.3,78.2,1.4,0.0,53.0,1.7,16.28,10.5,24.06,2.09,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"jampang huma, mentah",Low Sugar
Better Sandwich Biscuit,1 g,60.0,2.0,18.0,7.0,9.0,75.0,1.0,6.51,3.33,5.54,10.45,5.0,0.0,0.0,0.0,6.0,7.0,11.0,0.0,better sandwich biscuit,Healthy
Starbucks cappuccino (nonfat milk),8 g,80.0,8.0,12.0,0.0,0.0,0.0,0.0,3.72,13.33,3.69,0.0,0.0,0.0,0.0,14.0,4.0,4.0,0.0,0.0,starbucks cappuccino (nonfat milk),Low Sugar
Coca cola zero sugar,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coca cola zero sugar,Low Carb
"Umbi Uwi, segar",0.90 g,120.0,2.8,82.3,0.5,0.0,12.0,2.6,5.58,4.67,25.32,0.75,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"umbi uwi, segar",Low Sugar
Tempe gembus yogya,1.10 g,76.0,6.8,10.6,0.7,0.0,0.0,5.3,3.53,11.33,3.26,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tempe gembus yogya,Low Sugar
Oreo dutch Cocoa wafer,2 g,50.0,1.0,17.0,6.0,9.0,50.0,2.0,6.05,1.67,5.23,8.96,3.33,15.0,0.0,0.0,0.0,0.0,9.0,7.0,oreo dutch cocoa wafer,Healthy
Starbucks hot caffe mocha (whole milk),13 g,330.0,13.0,42.0,12.0,0.0,0.0,0.0,15.35,21.67,12.92,17.91,0.0,0.0,0.0,22.0,0.0,16.0,18.0,0.0,starbucks hot caffe mocha (whole milk),Low Sugar
Yogurt greek heavenly blush strawberrt,4 g,170.0,5.0,18.0,9.0,10.0,45.0,4.0,7.91,8.33,5.54,13.43,3.0,0.0,0.0,9.0,0.0,0.0,14.0,14.0,yogurt greek heavenly blush strawberrt,Snack
Monde Boromon Wafers rasa Strawberry susu,2 g,60.0,1.0,17.0,6.0,7.0,35.0,2.0,6.05,1.67,5.23,8.96,2.33,18.0,0.0,0.0,0.0,0.0,9.0,7.0,monde boromon wafers rasa strawberry susu,Healthy
Ceriping getuk singkong,3.20 g,462.0,1.2,67.7,20.7,0.0,0.0,0.6,21.49,2.0,20.83,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceriping getuk singkong,Low Sugar
"Matoa, segar",1.10 g,90.0,1.2,21.1,0.1,0.0,10.0,0.5,4.19,2.0,6.49,0.15,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"matoa, segar",Low Sugar
Bayam kukus,1.60 g,30.0,1.3,5.8,0.7,0.0,15.0,1.2,1.4,2.17,1.78,1.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayam kukus,Low Carb
"Telur bebek albino, segar",1 g,187.0,11.8,3.0,14.2,0.0,115.0,0.0,8.7,19.67,0.92,21.19,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"telur bebek albino, segar",Low Carb
Mie pangsit basah,0.70 g,105.0,5.9,9.4,4.9,0.0,530.0,0.0,4.88,9.83,2.89,7.31,35.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mie pangsit basah,Low Carb
Frisian flag california strawberry low fat,7 g,150.0,7.0,24.0,2.5,22.0,125.0,0.0,6.98,11.67,7.38,3.73,8.33,0.0,9.0,12.0,8.0,0.0,0.0,0.0,frisian flag california strawberry low fat,Healthy
HILO PLATINUM Swiss Chocolate Flavour,8 g,130.0,8.0,21.0,2.0,0.0,150.0,0.0,6.05,13.33,6.46,2.99,10.0,0.0,10.0,14.0,7.0,0.0,0.0,0.0,hilo platinum swiss chocolate flavour,Low Sugar
Ikan Hiu kering,6.80 g,298.0,46.3,20.2,3.6,0.0,957.0,0.0,13.86,77.17,6.22,5.37,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ikan hiu kering,High protein
Frisian flag gold (kental manis),3 g,130.0,3.0,22.0,3.5,21.0,0.0,0.0,6.05,5.0,6.77,5.22,0.0,0.0,0.0,0.0,7.0,7.0,6.0,0.0,frisian flag gold (kental manis),Healthy
"Gandaria masak, segar",0.40 g,68.0,0.7,18.0,0.1,0.0,3.0,2.2,3.16,1.17,5.54,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"gandaria masak, segar",Low Sugar
Teh Kotak Rasa Blackcurrant,0 g,100.0,0.0,24.0,0.0,21.0,50.0,0.0,4.65,0.0,7.38,0.0,3.33,0.0,4.0,0.0,8.0,5.0,0.0,0.0,teh kotak rasa blackcurrant,Healthy
Oishi Snack Sponge Crunch Chocolate,0 g,45.0,1.0,11.0,5.0,5.0,20.0,0.0,4.19,1.67,3.38,7.46,1.33,0.0,0.0,0.0,4.0,5.0,8.0,0.0,oishi snack sponge crunch chocolate,Low Sugar
KFC extra crispy paha atas,22 g,330.0,22.0,9.0,23.0,0.0,0.0,0.0,15.35,36.67,2.77,34.33,0.0,0.0,0.0,37.0,0.0,16.0,35.0,0.0,kfc extra crispy paha atas,High protein
Saladstop Sea Breeze,6.20 g,379.3,29.5,17.4,23.0,7.9,2032.3,6.2,17.64,49.17,5.35,34.33,135.49,0.0,136.0,50.0,0.0,0.0,35.0,0.0,saladstop sea breeze,High protein
Butter cookies Monde,2 g,70.0,2.0,20.0,8.0,7.0,0.0,0.0,7.44,3.33,6.15,11.94,0.0,0.0,0.0,0.0,7.0,8.0,12.0,0.0,butter cookies monde,Healthy
Es krim Wall's oreo cookies cream,1 g,140.0,2.0,17.0,7.0,11.0,0.0,1.0,6.51,3.33,5.23,10.45,0.0,0.0,0.0,0.0,6.0,7.0,11.0,0.0,es krim wall's oreo cookies cream,Healthy
"Naan maran sapi, masakan",7.90 g,478.0,38.3,5.1,33.9,0.0,220.0,0.0,22.23,63.83,1.57,50.6,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"naan maran sapi, masakan",High protein
Nissin Walens Chocosoes,2 g,80.0,2.0,14.0,8.0,8.0,65.0,0.0,6.51,3.33,4.31,11.94,4.33,0.0,5.0,0.0,0.0,7.0,12.0,0.0,nissin walens chocosoes,Healthy
East Bali Cashews Granola With Rosella Cinnamon,2.50 g,126.0,2.5,18.5,4.0,5.0,118.5,2.5,5.86,4.17,5.69,5.97,7.9,10.0,8.0,0.0,0.0,0.0,0.0,9.0,east bali cashews granola with rosella cinnamon,Low Sugar
Jasjus Rasa Anggur,0 g,25.0,0.0,6.0,0.0,5.0,15.0,0.0,1.16,0.0,1.85,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,jasjus rasa anggur,Low Carb
"Beras jagung kuning kering, mentah",0.90 g,358.0,5.5,82.7,0.1,0.0,1.0,10.0,16.65,9.17,25.45,0.15,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"beras jagung kuning kering, mentah",Low Sugar
Indomie kari ayam,2 g,320.0,7.0,46.0,12.0,4.0,0.0,2.0,14.88,11.67,14.15,17.91,0.0,0.0,0.0,0.0,15.0,15.0,18.0,0.0,indomie kari ayam,Low Sugar
"Ikan Hiu, segar",1.10 g,57.0,10.7,2.2,0.3,0.0,0.0,0.0,2.65,17.83,0.68,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ikan hiu, segar",Low Carb
"Bebek albino, daging, segar",1 g,303.0,11.3,3.7,27.0,0.0,50.0,0.0,14.09,18.83,1.14,40.3,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"bebek albino, daging, segar",Low Carb
"Jagung pipil var, harapan, mentah",1.20 g,367.0,6.2,76.2,5.1,0.0,1.0,2.6,17.07,10.33,23.45,7.61,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"jagung pipil var, harapan, mentah",Low Sugar
Starbucks Iced caffe mocha (notfat milk),9 g,200.0,9.0,36.0,2.5,0.0,0.0,0.0,9.3,15.0,11.08,3.73,0.0,0.0,0.0,15.0,12.0,10.0,0.0,0.0,starbucks iced caffe mocha (notfat milk),Low Sugar
Gadeng / Gadung kering,0.20 g,322.0,2.4,76.6,0.6,0.0,5.0,0.0,14.98,4.0,23.57,0.9,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gadeng / gadung kering,Low Sugar
Sirup pirous,0.20 g,228.0,0.2,55.9,0.4,0.0,3.0,0.0,10.6,0.33,17.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sirup pirous,Low Sugar
You C1000 vitamin apple,0 g,60.0,0.0,14.0,0.0,14.0,0.0,0.0,2.79,0.0,4.31,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,you c1000 vitamin apple,Healthy
"Susu sapi, segar",0.70 g,61.0,3.2,4.3,3.5,0.0,36.0,0.0,2.84,5.33,1.32,5.22,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"susu sapi, segar",Low Carb
Roti gandum,4 g,267.0,10.72,48.68,3.24,5.91,508.0,4.0,12.42,17.87,14.98,4.84,33.87,0.0,34.0,18.0,0.0,0.0,0.0,0.0,roti gandum,Snack
Ikan Mujahir / Mujair pepes,1 g,121.0,21.7,0.8,2.8,0.0,58.0,0.0,5.63,36.17,0.25,4.18,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ikan mujahir / mujair pepes,High protein
Lilin bungkus gedi,1.90 g,79.0,2.3,5.8,5.2,0.0,170.0,2.5,3.67,3.83,1.78,7.76,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lilin bungkus gedi,Low Carb
Mie celon,1.20 g,102.0,3.0,17.8,2.1,0.0,451.0,0.0,4.74,5.0,5.48,3.13,30.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mie celon,Low Sugar
Beef burger,2.20 g,258.0,10.6,32.5,9.5,0.0,572.0,0.4,12.0,17.67,10.0,14.18,38.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beef burger,Low Sugar
"Kelapa Muda , daging, segar",0.80 g,68.0,1.0,14.0,0.9,0.0,17.9,0.0,3.16,1.67,4.31,1.34,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kelapa muda , daging, segar",Low Sugar
Walens choco soes,2 g,140.0,2.0,14.0,8.0,0.0,0.0,0.0,6.51,3.33,4.31,11.94,0.0,0.0,0.0,0.0,5.0,7.0,12.0,0.0,walens choco soes,Low Sugar
Kapurung,0.60 g,41.0,2.0,7.8,0.3,0.0,185.0,2.0,1.91,3.33,2.4,0.45,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kapurung,Low Carb
"Daun kesum, segar",0.80 g,48.0,4.5,9.1,0.8,0.0,11.0,1.6,2.23,7.5,2.8,1.19,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"daun kesum, segar",Low Carb
"Ketela pohon / singkong, segar",0.50 g,154.0,1.0,36.8,0.3,0.0,2.0,0.9,7.16,1.67,11.32,0.45,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ketela pohon / singkong, segar",Low Sugar
Teh melati daun kering,5.30 g,299.0,24.1,59.0,3.5,0.0,70.0,9.7,13.91,40.17,18.15,5.22,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,teh melati daun kering,High protein
Tony roma's potato skin,0 g,751.0,35.0,41.0,51.0,2.0,0.0,0.0,34.93,58.33,12.62,76.12,0.0,0.0,0.0,59.0,0.0,35.0,77.0,0.0,tony roma's potato skin,High protein
Yogurt mixed berry,4 g,140.0,4.0,22.0,4.0,0.0,30.0,4.0,6.51,6.67,6.77,5.97,2.0,13.0,0.0,0.0,7.0,0.0,0.0,14.0,yogurt mixed berry,Low Sugar
Susu Bear brand gold malt putih,4 g,120.0,4.0,19.0,1.5,0.0,0.0,0.0,5.58,6.67,5.85,2.24,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0.0,susu bear brand gold malt putih,Low Sugar
"Pisang goroho, segar",1 g,119.0,1.5,27.9,0.2,0.0,36.0,4.6,5.53,2.5,8.58,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"pisang goroho, segar",Low Sugar
"brokoli , matang",90.50 g,23.2,3.2,1.9,0.2,0.0,15.0,3.0,1.08,5.33,0.58,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"brokoli , matang",Low Carb
Keripik oncom,2.20 g,598.0,8.3,42.6,43.8,0.0,0.0,3.3,27.81,13.83,13.11,65.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keripik oncom,Low Sugar
Tepung terigu,1 g,333.0,9.0,77.2,1.0,0.0,2.0,0.3,15.49,15.0,23.75,1.49,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tepung terigu,Low Sugar
"Kelapa muda,air, segar",0.40 g,17.0,0.2,3.8,0.1,0.0,1.0,0.0,0.79,0.33,1.17,0.15,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kelapa muda,air, segar",Low Carb
Richeese Nabati Wafer Krim Keju,0 g,40.0,0.0,6.0,1.5,0.0,30.0,0.0,1.86,0.0,1.85,2.24,2.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,richeese nabati wafer krim keju,Low Carb
Dairy queen Vanilla cone,0 g,330.0,9.0,52.0,9.0,36.0,0.0,0.0,15.35,15.0,16.0,13.43,0.0,0.0,0.0,15.0,16.0,16.0,0.0,0.0,dairy queen vanilla cone,Snack
Kacang gude rebus,1.50 g,147.0,9.0,27.5,0.5,0.0,14.0,3.4,6.84,15.0,8.46,0.75,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kacang gude rebus,Low Sugar
Carman's bircher muesli,7.90 g,421.0,14.7,48.1,17.1,16.0,0.0,7.9,19.58,24.5,14.8,25.52,0.0,0.0,0.0,25.0,0.0,0.0,26.0,27.0,carman's bircher muesli,Snack
"Ikan Pomo, segar",1.40 g,147.0,22.5,2.6,5.2,0.0,0.0,0.0,6.84,37.5,0.8,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ikan pomo, segar",High protein
"Taoge, segar",0.40 g,34.0,3.7,4.3,1.2,0.0,19.0,1.1,1.58,6.17,1.32,1.79,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"taoge, segar",Low Carb
Nutrisari jus jambu,0 g,60.0,0.0,13.0,1.5,12.0,0.0,0.0,2.79,0.0,4.0,2.24,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,nutrisari jus jambu,Healthy
Ultra milk low fat source of calcium,7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,4.19,11.67,3.38,3.73,7.0,8.0,7.0,12.0,0.0,0.0,0.0,0.0,ultra milk low fat source of calcium,Low Sugar
Piattos Sambal Terasi Flavor,2 g,45.0,1.0,13.0,5.0,1.0,140.0,2.0,4.65,1.67,4.0,7.46,9.33,13.0,10.0,0.0,0.0,0.0,8.0,0.0,piattos sambal terasi flavor,Low Sugar
"Bengkuang, segar",0.50 g,59.0,1.4,12.8,0.2,0.0,2.0,1.0,2.74,2.33,3.94,0.3,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"bengkuang, segar",Low Sugar
"Umbut kelapa, segar",1.30 g,39.0,2.0,7.2,0.2,0.0,4.0,2.5,1.81,3.33,2.22,0.3,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"umbut kelapa, segar",Low Carb
Sarimi Gelas Rasa Kari Ayam,2 g,70.0,8.0,16.0,8.0,1.0,1110.0,2.0,6.51,13.33,4.92,11.94,74.0,18.0,74.0,14.0,0.0,0.0,0.0,0.0,sarimi gelas rasa kari ayam,Low Sugar
Martabak india,1.20 g,153.0,4.5,24.3,4.2,0.0,240.0,0.0,7.12,7.5,7.48,6.27,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,martabak india,Low Sugar
Wajit camilan,0.60 g,303.0,6.3,63.3,2.7,0.0,0.0,6.9,14.09,10.5,19.48,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wajit camilan,Low Sugar
Taro net,2 g,80.0,2.0,15.0,2.0,0.0,0.0,0.0,3.72,3.33,4.62,2.99,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,taro net,Low Sugar
Sayur umbut rotan,1.30 g,57.0,5.4,3.1,2.6,0.0,256.0,1.6,2.65,9.0,0.95,3.88,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sayur umbut rotan,Low Carb
Kakicak,0.90 g,296.0,3.4,36.7,15.1,0.0,0.0,0.0,13.77,5.67,11.29,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kakicak,Low Sugar
Yoforia Berry smooth,4 g,130.0,4.0,24.0,2.0,20.0,0.0,0.0,6.05,6.67,7.38,2.99,0.0,0.0,0.0,7.0,8.0,7.0,0.0,0.0,yoforia berry smooth,Healthy
Nissin Butter Coconut Biscuits,2 g,100.0,1.0,14.0,5.0,4.0,55.0,2.0,4.65,1.67,4.31,7.46,3.67,0.0,0.0,0.0,0.0,5.0,8.0,7.0,nissin butter coconut biscuits,Low Sugar
Herslim,2 g,10.0,13.0,13.0,1.5,2.0,120.0,2.0,5.58,21.67,4.0,2.24,8.0,0.0,8.0,22.0,0.0,0.0,0.0,7.0,herslim,Low Sugar
Indomie rasa kaldu ayam,4 g,110.0,6.0,50.0,12.0,0.0,980.0,4.0,15.81,10.0,15.38,17.91,65.33,45.0,66.0,0.0,0.0,0.0,18.0,0.0,indomie rasa kaldu ayam,Low Sugar
Papeda,0.10 g,61.0,0.2,14.9,0.1,0.0,4.0,0.5,2.84,0.33,4.58,0.15,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,papeda,Low Sugar
"Daun oyong, segar",0.60 g,22.0,1.0,5.3,0.1,0.0,40.0,0.0,1.02,1.67,1.63,0.15,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"daun oyong, segar",Low Carb
The coffe bean & tea leaf pure chocolate ice blended drink,15 g,390.0,15.0,72.0,7.0,59.0,0.0,0.0,18.14,25.0,22.15,10.45,0.0,0.0,0.0,25.0,23.0,19.0,0.0,0.0,the coffe bean & tea leaf pure chocolate ice blended drink,High protein
wrp everyday susu bubuk rasa choco hazelnut,5 g,110.0,5.0,21.0,1.0,0.0,35.0,0.0,5.12,8.33,6.46,1.49,2.33,0.0,0.0,9.0,7.0,6.0,0.0,0.0,wrp everyday susu bubuk rasa choco hazelnut,Low Sugar
Ichi ocha,0 g,0.0,0.0,26.0,0.0,24.0,35.0,0.0,4.65,0.0,8.0,0.0,2.33,0.0,3.0,0.0,8.0,5.0,0.0,0.0,ichi ocha,Healthy
MR. P Honey Peanuts,7 g,150.0,7.0,5.0,12.0,3.0,0.0,0.0,6.98,11.67,1.54,17.91,0.0,0.0,0.0,12.0,0.0,7.0,18.0,0.0,mr. p honey peanuts,Low Carb
Suwir-suwir,1 g,347.0,0.5,84.2,0.9,0.0,0.0,0.8,16.14,0.83,25.91,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,suwir-suwir,Low Sugar
"Daun labu siam, segar",1.20 g,34.0,4.0,4.7,0.4,0.0,16.0,3.5,1.58,6.67,1.45,0.6,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"daun labu siam, segar",Low Carb
"Uceng / bunga melinjo, segar",1.70 g,82.0,5.8,11.7,1.3,0.0,0.0,4.8,3.81,9.67,3.6,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"uceng / bunga melinjo, segar",Low Sugar
Golden Farm mixed vegetable,3 g,70.0,3.0,14.0,1.0,4.0,0.0,0.0,3.26,5.0,4.31,1.49,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,golden farm mixed vegetable,Low Sugar
Kue pelita,0.60 g,141.0,5.3,17.6,5.5,0.0,0.0,0.0,6.56,8.83,5.42,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kue pelita,Low Sugar
Dairy queen chocolate dipped cone,1 g,460.0,9.0,59.0,22.0,43.0,0.0,1.0,21.4,15.0,18.15,32.84,0.0,0.0,0.0,0.0,19.0,22.0,33.0,0.0,dairy queen chocolate dipped cone,Snack
"Jeruk banjar, segar",0.40 g,61.0,0.8,14.1,0.2,0.0,3.0,5.4,2.84,1.33,4.34,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"jeruk banjar, segar",Low Sugar
"Daun labu wuluh/kuning, segar",1.60 g,34.0,3.6,4.5,0.6,0.0,16.0,2.9,1.58,6.0,1.38,0.9,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"daun labu wuluh/kuning, segar",Low Carb
"Ikan Mayong, segar",1.50 g,97.0,17.9,0.4,2.0,0.0,0.0,0.0,4.51,29.83,0.12,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ikan mayong, segar",High protein
"Ikan Tarmon, segar",0.80 g,96.0,19.5,2.0,1.1,0.0,43.0,0.0,4.47,32.5,0.62,1.64,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ikan tarmon, segar",High protein
"Soto jeroan, masakan",1.10 g,92.0,11.8,1.4,4.3,0.0,363.0,0.0,4.28,19.67,0.43,6.42,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"soto jeroan, masakan",Low Carb
"Tedong pallu basa, masakan",1.70 g,83.0,10.4,2.8,3.4,0.0,397.0,0.0,3.86,17.33,0.86,5.07,26.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"tedong pallu basa, masakan",Low Carb
Tepung Ganyong,0.30 g,353.0,0.8,83.6,1.7,0.0,3.0,0.7,16.42,1.33,25.72,2.54,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tepung ganyong,Low Sugar
Umbut rotan,1.30 g,34.0,2.4,5.5,0.3,0.0,8.0,2.2,1.58,4.0,1.69,0.45,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umbut rotan,Low Carb
"Beras ladang, mentah",0.90 g,376.0,7.5,78.0,3.8,0.0,10.0,5.9,17.49,12.5,24.0,5.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"beras ladang, mentah",Low Sugar
Yogurt frozen pinkberry (Kecil),0 g,150.0,6.0,31.0,0.0,30.0,0.0,0.0,6.98,10.0,9.54,0.0,0.0,0.0,0.0,10.0,10.0,7.0,0.0,0.0,yogurt frozen pinkberry (kecil),Healthy
Golden Farm corn kernel,3 g,70.0,3.0,14.0,1.0,3.0,0.0,0.0,3.26,5.0,4.31,1.49,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,golden farm corn kernel,Low Sugar
"Pempek telur, masakan",1.90 g,156.0,4.7,28.3,2.7,0.0,448.0,0.0,7.26,7.83,8.71,4.03,29.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"pempek telur, masakan",Low Sugar
Nutrisari Florida orange,0 g,50.0,0.0,13.0,0.0,11.0,0.0,0.0,2.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,nutrisari florida orange,Healthy
NutriBoost rasa kopi,3 g,30.0,3.0,19.0,3.0,14.0,100.0,0.0,5.58,5.0,5.85,4.48,6.67,13.0,7.0,0.0,6.0,0.0,0.0,0.0,nutriboost rasa kopi,Healthy
Ultra Sari Kacang Ijo,2 g,90.0,2.0,22.0,0.0,0.0,0.0,0.0,4.19,3.33,6.77,0.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,0.0,ultra sari kacang ijo,Low Sugar
Quinoa,4.40 g,120.0,4.4,21.3,1.92,0.0,0.0,0.0,5.58,7.33,6.55,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quinoa,Low Sugar
Kacang tolo rebus,1.20 g,138.0,10.7,22.6,1.1,0.0,13.0,0.9,6.42,17.83,6.95,1.64,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kacang tolo rebus,Low Sugar
"Lamtoro biji muda, segar",1.20 g,85.0,5.7,15.4,0.3,0.0,35.0,10.8,3.95,9.5,4.74,0.45,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"lamtoro biji muda, segar",Low Sugar
Roma Malkist,2 g,120.0,2.0,19.0,4.5,3.0,0.0,0.0,5.58,3.33,5.85,6.72,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,roma malkist,Low Sugar
Tahu Bakso,2.40 g,231.0,11.8,21.4,12.2,1.2,378.0,2.4,10.74,19.67,6.58,18.21,25.2,0.0,26.0,20.0,0.0,0.0,19.0,0.0,tahu bakso,Low Sugar
Sonice Bakso kuah sapi,8 g,160.0,8.0,20.0,5.0,0.0,0.0,0.0,7.44,13.33,6.15,7.46,0.0,0.0,0.0,14.0,0.0,8.0,8.0,0.0,sonice bakso kuah sapi,Low Sugar
"Ayam goreng church texas, dada",1.50 g,338.0,35.2,0.4,20.6,0.0,800.0,0.0,15.72,58.67,0.12,30.75,53.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ayam goreng church texas, dada",High protein
Saladstop tingtong,13.50 g,843.4,30.6,83.3,46.2,14.5,1004.6,13.5,39.23,51.0,25.63,68.96,66.97,0.0,67.0,51.0,0.0,0.0,69.0,0.0,saladstop tingtong,High protein
Takwa,1.60 g,148.0,13.8,4.0,8.5,0.0,3.0,0.0,6.88,23.0,1.23,12.69,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takwa,Low Carb
Monde Boromon cookies original flavor,0 g,80.0,0.0,18.0,0.0,0.0,10.0,0.0,3.72,0.0,5.54,0.0,0.67,0.0,1.0,0.0,6.0,4.0,0.0,0.0,monde boromon cookies original flavor,Low Sugar
Keju Lemnos Grated Parmesan,0 g,38.0,3.3,1.0,5.6,1.0,0.0,0.0,1.77,5.5,0.31,8.36,0.0,0.0,0.0,6.0,0.0,2.0,9.0,0.0,keju lemnos grated parmesan,Low Carb
Good Day Mocacinno,1 g,20.0,1.0,16.0,2.0,13.0,10.0,1.0,4.19,1.67,4.92,2.99,0.67,10.0,0.0,0.0,5.0,5.0,0.0,0.0,good day mocacinno,Healthy
kacang garuda roste kacang panggang,5 g,130.0,5.0,16.0,5.0,0.0,115.0,0.0,6.05,8.33,4.92,7.46,7.67,0.0,8.0,9.0,0.0,0.0,8.0,0.0,kacang garuda roste kacang panggang,Low Sugar
Tepung Tales Banten,5.50 g,332.0,5.7,76.1,0.6,0.0,7.0,12.2,15.44,9.5,23.42,0.9,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tepung tales banten,Low Sugar
Coklat Toblerone,1 g,130.0,1.0,15.0,7.0,15.0,0.0,0.0,6.05,1.67,4.62,10.45,0.0,0.0,0.0,0.0,5.0,7.0,11.0,0.0,coklat toblerone,Healthy
